datetime_UTC,yyyy,mm,dd,HH,first_valid_minute,last_valid_minute,average_measurement_time,latitude,longitude,elevation_m,intake_height_m,ch4_ppb,ch4_uncertainty,ch4_SD_raw,ch4_n_raw,ch4_SD_minutes,ch4_n_minutes,ch4_min,ch4_max,ch4_flags
2017-01-01T00Z,2017,1,1,0,2017-01-01T00:01:00Z,2017-01-01T00:59:00Z,2017-01-01T00:47:53Z,34.284,-118.473,391,31,1946.72,0.63,6.4,443.0,5.73,18.0,1934.35,1962.94,...
2017-01-01T01Z,2017,1,1,1,2017-01-01T01:00:00Z,2017-01-01T01:59:00Z,2017-01-01T01:45:30Z,34.284,-118.473,391,31,1960.21,0.64,4.95,467.0,4.98,19.0,1947.08,1968.05,...
2017-01-01T02Z,2017,1,1,2,2017-01-01T02:00:00Z,2017-01-01T02:01:00Z,2017-01-01T02:00:30Z,34.284,-118.473,391,31,NaN,NaN,NaN,48.0,NaN,2.0,NaN,NaN,...
2017-01-01T03Z,2017,1,1,3,2017-01-01T03:02:00Z,2017-01-01T03:21:00Z,2017-01-01T03:11:30Z,34.284,-118.473,391,31,2071.03,0.88,140.84,471.0,139.67,19.0,1969.47,2424.49,...
2017-01-01T04Z,2017,1,1,4,2017-01-01T04:02:00Z,2017-01-01T04:21:00Z,2017-01-01T04:11:30Z,34.284,-118.473,391,31,3220.98,4.07,362.93,475.0,366.85,19.0,2571.78,3769.78,...
2017-01-01T05Z,2017,1,1,5,2017-01-01T05:02:00Z,2017-01-01T05:21:00Z,2017-01-01T05:11:30Z,34.284,-118.473,391,31,2796.58,2.83,204.58,470.0,208.28,19.0,2482.35,3177.0,...
2017-01-01T06Z,2017,1,1,6,2017-01-01T06:02:00Z,2017-01-01T06:22:00Z,2017-01-01T06:12:00Z,34.284,-118.473,391,31,2098.69,0.91,9.95,478.0,8.27,20.0,2087.45,2115.47,...
2017-01-01T07Z,2017,1,1,7,2017-01-01T07:02:00Z,2017-01-01T07:22:00Z,2017-01-01T07:12:00Z,34.284,-118.473,391,31,2048.28,0.8,4.64,478.0,4.79,20.0,2039.52,2054.51,...
2017-01-01T08Z,2017,1,1,8,2017-01-01T08:22:00Z,2017-01-01T08:42:00Z,2017-01-01T08:32:00Z,34.284,-118.473,391,31,2049.54,0.79,9.38,454.0,9.59,19.0,2040.11,2067.55,...
2017-01-01T09Z,2017,1,1,9,2017-01-01T09:22:00Z,2017-01-01T09:42:00Z,2017-01-01T09:32:00Z,34.284,-118.473,391,31,2017.64,0.73,9.99,455.0,8.96,19.0,2008.92,2037.94,...
2017-01-01T10Z,2017,1,1,10,2017-01-01T10:22:00Z,2017-01-01T10:42:00Z,2017-01-01T10:32:00Z,34.284,-118.473,391,31,2013.45,0.72,5.22,458.0,5.58,19.0,2007.09,2023.85,...
2017-01-01T11Z,2017,1,1,11,2017-01-01T11:22:00Z,2017-01-01T11:42:00Z,2017-01-01T11:32:00Z,34.284,-118.473,391,31,2772.92,2.66,101.6,460.0,95.7,19.0,2583.76,2955.77,...
2017-01-01T12Z,2017,1,1,12,2017-01-01T12:22:00Z,2017-01-01T12:42:00Z,2017-01-01T12:32:00Z,34.284,-118.473,391,31,3335.04,4.21,293.47,460.0,301.95,19.0,2994.05,3830.31,...
2017-01-01T13Z,2017,1,1,13,2017-01-01T13:22:00Z,2017-01-01T13:42:00Z,2017-01-01T13:32:00Z,34.284,-118.473,391,31,2175.86,1.07,41.74,461.0,43.24,19.0,2120.29,2255.02,...
2017-01-01T14Z,2017,1,1,14,2017-01-01T14:22:00Z,2017-01-01T14:42:00Z,2017-01-01T14:32:00Z,34.284,-118.473,391,31,2747.78,2.59,97.52,463.0,96.91,19.0,2610.16,2937.77,...
2017-01-01T15Z,2017,1,1,15,2017-01-01T15:22:00Z,2017-01-01T15:42:00Z,2017-01-01T15:32:00Z,34.284,-118.473,391,31,2361.67,1.55,99.24,463.0,100.93,19.0,2229.78,2556.94,...
2017-01-01T16Z,2017,1,1,16,2017-01-01T16:22:00Z,2017-01-01T16:42:00Z,2017-01-01T16:32:00Z,34.284,-118.473,391,31,2380.82,1.59,25.67,466.0,21.41,19.0,2330.95,2423.47,...
2017-01-01T17Z,2017,1,1,17,2017-01-01T17:22:00Z,2017-01-01T17:42:00Z,2017-01-01T17:32:00Z,34.284,-118.473,391,31,2285.7,1.35,12.87,467.0,13.47,19.0,2256.32,2302.88,...
2017-01-01T18Z,2017,1,1,18,2017-01-01T18:43:00Z,2017-01-01T18:59:00Z,2017-01-01T18:51:00Z,34.284,-118.473,391,31,2062.87,0.83,4.72,398.0,4.84,16.0,2055.74,2071.39,...
2017-01-01T19Z,2017,1,1,19,2017-01-01T19:00:00Z,2017-01-01T19:59:00Z,2017-01-01T19:43:30Z,34.284,-118.473,391,31,2020.15,0.74,13.92,467.0,14.57,19.0,2012.41,2053.96,...
2017-01-01T20Z,2017,1,1,20,2017-01-01T20:00:00Z,2017-01-01T20:59:00Z,2017-01-01T20:43:30Z,34.284,-118.473,391,31,2035.66,0.77,11.08,470.0,11.45,19.0,2011.82,2052.23,...
2017-01-01T21Z,2017,1,1,21,2017-01-01T21:00:00Z,2017-01-01T21:59:00Z,2017-01-01T21:43:30Z,34.284,-118.473,391,31,2083.29,0.87,16.15,471.0,16.69,19.0,2045.67,2093.91,...
2017-01-01T22Z,2017,1,1,22,2017-01-01T22:00:00Z,2017-01-01T22:59:00Z,2017-01-01T22:43:30Z,34.284,-118.473,391,31,2120.21,0.96,10.82,473.0,11.08,19.0,2095.12,2128.29,...
2017-01-01T23Z,2017,1,1,23,2017-01-01T23:00:00Z,2017-01-01T23:59:00Z,2017-01-01T23:43:30Z,34.284,-118.473,391,31,2083.81,0.87,13.83,471.0,14.14,19.0,2075.54,2118.91,...
