geo_ref,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
AK,82.55355099346332,121.06494223834724,129.4595446171018,147.47577116289,168.1562602063182,164.0873425924221,176.4328836737416,85.56113814273522,74.21445083726299,92.79683254985122,219.56217894585225,228.05758119857907,244.3803734549179,258.3228358282668,243.80693024245298,76.94673981499265,85.18716245223911,71.155043946673,83.10195552185503,74.94890439955728,77.40458582150637,78.14201951004569,77.47208921492897
AL,4428.585498883332,4464.941321649202,4194.708957635862,5392.3107330272005,7736.615246605296,6892.941365750237,7108.604375550948,7281.647593348687,8648.342752407221,5588.60445299569,5211.238117261381,5049.5109720600585,4377.824871987842,4686.990825219121,3469.8712222416125,3068.451897406812,3963.716604825026,3274.474801087885,3836.366882538916,3942.6660757242794,3532.022566230405,3605.38469187912,3559.6456129201542
AR,14964.245533634528,16198.511824138084,16889.71589258336,24916.105835175455,27366.307291943634,32788.59076664894,33639.49699036383,31404.68479502985,28472.14812499444,13861.446128162068,17429.35440970749,16225.1110186399,17252.677944618572,17358.82313737665,16036.484627587459,14980.542355322272,14695.638539114507,11126.821525962589,13686.408318941712,13064.400420472462,12659.581339118726,12826.883672505237,12657.911240054138
AZ,2901.9942222701684,3733.3470913923134,4133.992637108481,2620.559642319763,2462.96352721087,2726.944854999636,2994.379955363226,2789.8019564466626,3992.5035307942658,5100.14987201066,5965.669968104548,6612.579751379822,6166.095832650648,5868.716421545494,6034.466324454843,4570.995581499843,5738.738886492199,4978.328204226931,4097.86350094946,4472.29695031889,4025.944095696528,4102.640267641609,4057.2137524567406
CA,43191.98830142898,42268.75190148134,40985.07509629702,37247.67358199212,46227.22230087485,45716.04163422482,50821.20306181782,38071.301025171764,41722.72313498124,30081.80769863043,38432.370077614614,41282.46472996518,42151.99485965794,42794.1251337031,49131.4029832423,46073.764737945996,40427.52803215168,38949.325186328606,36031.23298897893,32731.023665956054,31770.594703576782,31981.399430200112,31572.06609593619
CO,5801.703821332829,5817.060033224186,6242.141195267331,7418.9624858538,6896.447113662047,7202.265485370214,7441.948081034399,7314.992785289176,7490.519322633584,7085.585673339753,7551.223041702112,7825.163084590818,6946.790990475212,5884.687961360398,6637.782108258507,5734.411463606009,4964.314698201905,5218.130327555443,5496.291778703638,6053.180684156959,5309.8944350292795,5401.053852115375,5311.85878540307
CT,824.0939199664696,947.1614855540518,1343.7180223050552,1276.757475433962,1273.110333554144,1004.0595986938797,1332.2103618437106,764.5048469478513,526.6814726234078,586.5268063189915,902.730530055791,913.9827405091397,951.8472584622498,847.9982578432173,802.8437767658633,331.802603100861,389.2628581387801,553.8257487522579,413.9328509482031,362.2680925383092,672.4797474120843,353.12518789863896,348.77451522101376
DE,852.4569497823378,775.6306547102627,947.1869212329923,909.7054502362946,940.9130524943728,1082.3134088799766,976.3438506489688,1000.8250430193004,649.6761485862775,971.0251410562361,1354.2760124760052,1562.8278741361694,1378.5096018092038,1337.1750369409133,1353.0902506978282,1045.4902624576023,1004.5866475844183,924.3766769317197,899.8703097682302,996.5673805862256,843.6645917322289,860.036619769319,849.0063493456092
FL,15647.494745957903,15260.916187722167,17453.924728200534,22048.163330219642,15649.680159239904,18423.405761826216,15908.280004907234,12875.641785657124,12113.360026305532,12873.902296533115,30221.97532084288,17485.001130367447,16725.24409913926,19489.666409264722,15808.342200013867,14215.07994463515,13042.806239575151,13303.867748420671,15160.862932580312,9955.785477605039,6721.230601166674,7741.825394640489,7984.338835788989
GA,12969.153036765783,15250.06722684876,13815.627085915197,11214.428479072181,11251.25828835844,11735.31715858599,13375.458865120045,11376.555622580792,7528.510380120958,12393.79587571892,10457.068909498272,10747.727967995674,12127.951496169848,11696.109784464563,12092.6567668747,9966.428480254606,11466.849747847551,11329.434960105542,11571.563308175904,8051.598810725998,6357.626298364871,6516.5735003365535,6478.727699818198
HI,1608.7715805774424,1106.9070121217064,1047.9445015058134,777.2220539742486,845.0498501139555,733.2830624784401,815.2515809626772,762.8183411031173,596.9731662772804,812.612694465628,578.4636264590247,578.1476503296018,534.0292133643094,519.6737194849547,467.3476880533463,530.2204784268143,180.6151604345902,270.185307214892,202.54629324354104,393.00267219747985,374.96453928152306,382.56633248267184,377.591744936849
IA,28708.123733167035,30272.349011330756,38914.48341774532,29167.687245983798,28475.83066055527,24754.827839457957,26135.36111900501,31090.94255671318,32580.17384951803,30948.50868723963,34837.84160322773,34894.09905928231,36129.020925277415,30026.64703906524,29114.58224954504,35423.99391409135,32191.517387171472,30596.475294540032,30799.922193348964,32576.916138571258,31176.169393028373,30422.711384651993,30145.39601589173
ID,6947.892184930261,7488.456579142683,7998.383553929696,7967.004820487844,9080.154081462633,10650.717679157353,10537.875464009086,10518.364880783922,9297.375328504872,10668.733514374931,11592.66076468602,12499.820921369621,11344.52293236459,11069.2029836736,11548.447907172298,9097.303233152617,9424.152957338556,9012.813471067884,9763.759159800164,7673.229686922625,8300.423995140849,8513.681705541288,8499.714636055596
IL,25165.715847663545,25408.060875001058,25143.986272270457,28640.010501476558,30988.2398681714,38054.87486145638,42954.99152164313,39221.54955717153,33259.393723073634,22031.020503003187,29422.411896926817,28812.342755128222,33002.74165347918,31906.040176486556,31842.01257028633,31715.21601125433,28131.50545060477,30068.744738550537,29495.30061316143,24021.434304554845,27253.615286398515,28653.374882497035,30919.34395460081
IN,14095.260268693884,17657.964202575724,18400.871957800297,25353.994930752106,21773.43362700669,28053.248521118952,16462.305179200575,26913.2752921784,21801.588174527016,28420.798167535773,21018.993945825976,22212.436793257006,25844.67566086139,21402.56590883376,21996.929582626497,20980.051364088577,20149.55284167292,21461.06976663312,19435.169047520903,21147.545948219366,20245.902148625406,21970.647175821916,24709.59107966931
KS,18978.789424895855,19529.795828267943,20175.292067544273,22959.195013531742,27064.814686178877,25942.662890784544,27331.34293022776,23986.966111830276,27114.363427047847,24401.135602270002,22941.72918404023,20914.69725411934,20982.54880858441,19788.14346835798,21145.81539641364,21629.230808355038,22196.49009614766,22630.915815267457,24181.453955810954,23130.606282256547,25345.646900324344,25961.75736655558,25844.544815974026
KY,8217.05098580035,9084.193906857232,9563.832985289278,10126.810100282533,9994.023750976869,8533.766018379023,9514.879836516491,10476.020991212148,6048.162584294113,9508.684211401382,6562.253117823407,6706.299836126381,7190.25237360079,6283.787829123461,6000.325546502668,5346.535253161119,5648.8332316056285,5293.820772634895,5235.2334377016905,6801.592795058197,6883.42073273757,7614.390386811108,8405.342717774678
LA,8650.435332539215,7184.568503230521,8103.445556236096,7189.8038172225715,6775.029590759547,8847.738256840856,8851.318107128147,8693.794386542302,9071.534696520132,8421.21835577746,8338.965701200828,8939.610531381075,8705.813594220512,7955.661337431663,8400.400226248155,6281.205599245915,6603.650154141205,6554.691618573401,7934.455698131183,6933.548849094776,5462.361239017098,5716.623258393286,5869.307148909976
MA,459.36173611003943,579.8078316294642,794.5040229153791,848.1651540702974,1014.1873043875734,874.240260690671,1201.1696441195313,974.0765714564923,389.1947454369723,531.6820068575433,1760.7334199618742,1588.6265802350415,1735.462879503086,1226.2907153813424,1176.6670720315794,204.96888699449306,156.68367530372169,206.9946274649382,224.81807586309972,137.6757217971454,169.86744154038266,361.15501192135633,427.51851709509117
MD,3148.360937350449,2696.594533887618,2360.345966446884,3138.8017721071556,3390.815504590143,3590.9173857630476,3818.5511475628123,3019.5584814828253,2399.2603786902696,1981.0182605215298,2725.368784041624,2843.2229883415716,2920.3928078688923,2583.8431339946137,2569.0208226414957,1501.0233942561683,1271.866806212597,1410.3593071220125,1323.8095919742836,1746.7257987176142,1602.4206071613078,1636.1544136811963,1616.4651890903986
ME,811.9310544295525,925.2683561613463,1093.1246483558762,1613.9325458524538,1834.7605729159518,1659.3330782555865,1796.4115475512501,2053.3772943234794,1925.7770593015189,913.8878928463396,1863.970485809308,1918.1775651468688,2130.735641502448,1985.0392792283362,1739.4326510500932,756.67274882587,697.4679443943461,725.3313317205628,706.3386120497111,732.6560099703601,729.0031953884777,742.308909980522,732.226135727843
MI,9770.674434479557,8061.018302481723,7861.10041872767,9251.091833348934,10872.498735102314,10794.236627485281,11685.485151039064,15136.96476476825,14550.296652651978,14948.647957100195,10499.963663357381,10658.79513823888,10336.013111161048,12666.760099314854,13112.435111616287,9838.866660503354,9387.869390230999,12943.953203741845,9224.604889198798,9576.469656122998,8487.865703759158,8625.234446920755,8498.36269747623
MN,19351.094006998654,20659.066830791493,19333.201411910366,20426.379637502752,20753.540931200005,20597.813753805152,20478.200191915217,25259.42156389599,21905.889727365375,30632.6088443228,29011.265525130606,28173.334925589406,29115.839260344932,29297.769614918372,29161.415967003806,26039.33150828757,26069.43010538077,26891.262845396624,28212.911494678418,30363.3517023506,28700.456171239057,29062.7278233142,28938.46690210829
MO,13998.536704560627,13998.147745878603,15263.820591879257,18236.25001505323,20876.444434412748,25515.43389839124,30541.33620597964,27118.805676015836,17980.244853764805,23168.93409426664,18839.748336619246,18223.53792004437,20337.569524564733,17795.234959920384,18313.500246120115,19657.697607976377,19971.898494916157,19271.748204062336,18497.381056369042,16110.638261806156,16831.748386010153,14090.33488859444,13915.01495539243
MS,9082.4947207122,9405.442119569501,9468.744440870027,8853.826930871286,10078.103790294796,10068.493384223822,10469.929891560612,8997.376564566002,6299.847443532695,7803.54983705577,9816.78277510506,8970.97166839401,12751.272425604435,12787.525011415717,11667.503506762368,8375.181620362633,6362.502895885053,8243.317140797408,7476.448319483688,7766.002498614265,7846.629320150323,7533.663796956431,7437.790977855639
MT,7358.741233151766,6429.579369207121,6580.332303107683,8023.819819604025,9518.381145991298,10878.266519694116,13430.562985481383,15867.44066389943,14231.73774991295,16137.680594119445,8920.154501473695,9517.960529006998,9472.28384055779,9610.876805267626,9847.234700747056,7386.778019486297,7073.414975296903,7446.050907614515,7306.689013251695,7710.427813552476,8022.430804609942,8136.981276627064,8087.7202829471735
NC,6968.065878852393,8413.560949213537,8437.756293710301,7148.649843652786,8241.117230556545,8335.61077417112,8678.767533467106,9396.457605788004,7459.542046568274,8279.986699088731,8774.39753485275,8665.904927751864,9374.710282239488,9519.79722459676,8242.617040610305,6221.379306460401,6984.673489513323,5967.225435039023,6030.188784155538,6240.394351301764,5614.6079540835735,5731.385957408482,5661.604200252948
ND,13805.207501549437,15024.069413385892,14355.073860844655,15438.70193161842,18100.830737441855,18320.59339990199,18002.04221961247,17975.293347023362,19693.697668629025,18987.885943655456,19930.23186491554,21849.007421500577,21231.621631176073,21689.597987187743,20648.65808003067,23010.386025134343,19967.418831838448,21919.33729942115,18586.141373909333,20234.36673457169,22588.480180314382,22794.906001322084,22484.753619026367
NE,20849.215796272343,24146.953968902253,25046.628073083808,28777.609134960392,29960.42252859934,27479.155279050734,28106.554706882762,27757.97347894818,27944.977876162615,29971.630508095932,21972.028377475523,22092.621298085818,27522.323053629963,24168.36844935505,22264.92947034118,22456.7449183212,24751.380104637698,22178.310698021513,19946.47607503381,20402.31444529362,20604.546084223486,21044.746956407624,20912.565574217817
NH,521.1829395769173,665.0293939182961,714.9768604086969,882.2091976106046,938.5203229525878,928.71188148358,929.6691829579894,698.2137910910207,738.3179591748084,537.4519987473292,482.08927205139855,555.6167762630567,553.2862335574399,463.6219167723996,540.3992475652447,166.25852397670562,148.18062097781316,154.6684721980923,123.2074943751471,144.17031356988983,96.76656759686836,99.02335920248322,97.85671579631683
NJ,1173.2760085410212,1799.1337191204145,1527.3682571834963,1228.4408846609479,1307.2074646235947,1412.3567861790893,1785.3771619215765,1400.6452273385771,705.0959489741008,1349.9801625082548,2316.8615048828315,2165.5527266737763,2306.674363192983,1830.7398800322326,1770.2176516191862,950.7844233666128,791.5471380346172,463.2705119757684,528.2758211277549,603.1032574743455,518.945987774123,528.1754801813244,520.5212107360653
NM,1998.4254448799438,2417.416609544942,2380.3214236274644,4638.908905074529,4226.170390995753,2839.4178830117576,3557.0243258039227,5035.779005952212,2792.823964498042,2326.40534720876,3136.933504236707,2677.5599981589385,2955.8345685492263,3117.0613647259233,2560.986572788188,2065.6228202961875,1339.720130115159,1166.4770929064734,1132.2653642356383,1201.5404785410374,1067.0186216082204,1102.196435529147,1103.4546129627518
NV,766.2241225799993,731.4974931795359,720.6073962056552,580.5395693735443,814.3263046370301,571.2981870205716,609.0381599028043,678.0971946613986,515.1791428203513,967.0675859479973,1065.5374214999606,1077.2898519511361,926.5309160392117,709.5703725708953,653.7167372189499,475.7419427230997,515.5613945674353,600.9152226729097,735.0969643590963,703.2947714596362,774.1984632398462,787.0374417875446,776.804840610605
NY,6601.043381942807,6790.302169351491,10370.225050724748,11539.143517008279,9486.773885003191,9370.776912213852,11467.141794359759,10821.369264515219,6530.439157946172,7227.231352882534,7338.765025634379,8432.806593919513,16035.970551133958,7582.0489992208595,7563.780870974059,5085.260184102387,4335.873883998241,4452.945269449792,4705.394361623243,4912.563601872272,5133.866843283347,5311.307801335356,5398.419954681108
OH,11992.893820109482,13207.698623405387,15282.029804689808,13224.254995046176,17768.178624949225,19710.376274390288,23430.481030662628,21684.1251466951,25913.4943200293,19333.92097716489,19830.47455480471,17330.05888318136,20107.049645782772,15275.0634647528,15915.626878641344,15214.120925547411,14979.100869364382,11753.1204178848,12343.051088647571,11849.311676100147,15473.199939820503,15148.250588827517,15408.288740699509
OK,11083.671951794142,9854.256854266248,10807.029463482073,10393.095131495196,12157.231836678187,12160.884002435581,13268.575728157872,12467.27526663517,11406.701866993311,9867.171864904747,9765.054112875303,8127.501852235193,8838.243160926866,7950.418422653789,8968.521634361843,6334.5113795896905,7567.5585151073365,8215.527633940454,4991.5372476550465,5096.816447947195,5164.231342998748,5356.729156071401,5395.702263811963
OR,7991.019519834323,6366.704420548965,7719.97387294337,5589.762064324236,6783.326483510911,6472.391126732813,6783.395228096265,6243.282268088321,5304.9590957353785,6683.467345259766,6528.084184551776,8163.14618862542,8290.056639601107,7442.119974236918,7289.054269620068,6706.121750552131,6507.644374632476,6281.429166000209,5938.2497746996705,5677.783524068411,5188.351737263914,5201.271556431819,5081.610683486462
PA,7059.892529456788,8098.918795619334,8390.840971918175,7803.831835327866,11913.879826698403,8491.561252368694,16902.705969716666,11118.8891832266,10058.972317419342,8867.58520879616,15770.779032734892,13619.182800767296,14040.650613708762,12366.439524860463,13409.273632021604,8060.763901044272,8976.168495710328,9266.20160144204,8059.132761893178,8994.536063398777,7576.863260554906,6079.16218214071,6026.022760917749
RI,36.80338475535974,53.850807005400554,64.00051293895095,63.02159798904141,94.95921605039895,111.72621710881255,142.5805351247589,86.46425664488858,39.21690105980263,41.72057777408244,144.96163348622594,148.65283579687298,162.17048529207452,150.41403736669483,143.46995332403839,11.153052804356353,7.811259250849841,20.2424212130467,11.275945643614408,15.431767363132277,10.525679514011092,11.064158121236696,11.118190208896719
SC,2634.3178422030387,3334.0913133351282,3459.8613087780823,3719.232047423243,4391.954130962987,5509.101117439951,4750.976081760098,3876.8745354156817,3063.4116029834813,2861.6930974380716,1904.1927395540336,2243.5854589200007,2195.8567163822913,1944.9638365701444,2131.1215995897564,1801.1370200975005,2375.366101859631,2145.5394709722336,2591.321688411109,2917.894192119916,3067.190295795334,3139.395169427446,3123.886583159306
SD,10926.057801213507,11515.880872511829,11176.583249200365,13438.481613539248,14399.171142807976,14497.654315885946,15111.559449779543,13577.482394274439,12530.660346283054,14853.267622016894,12736.762624261126,14879.801580464618,15036.730465653029,15640.127331320995,13670.010509901425,13233.446382369992,12562.496272991051,12565.824950756647,12094.367200221572,11556.0918594555,14242.596692524528,14293.433109836365,14039.047104811165
TN,11350.57115661218,7724.1770592269595,5950.159299083394,6356.658699989055,8300.64247384628,9010.94811581097,11816.409874407016,10132.926420895797,5905.172524365886,6040.5570417190565,5336.882901516316,4989.890256682868,7485.410290900767,5606.310305089408,5469.681367813466,4909.66054583977,5308.252990669357,6165.991509283351,4713.89858921422,5108.866808194089,4320.556688359374,4366.6180829355235,4306.876441119266
TX,30681.218409496578,31793.387850435036,32260.993374005684,36201.860874577775,38478.2364707988,43822.59981223089,39904.10006456789,39002.6424077811,48048.041339214185,35011.7195279092,39996.8717479753,44614.28786282525,41528.50384499263,36545.477081614794,38781.02132042574,34100.450197875965,34008.65457927805,33549.51214003054,39755.431345653546,48439.16724927842,55624.90823589623,55555.26982544335,56069.13720486052
UT,2037.5974949171973,2091.0113695919363,1862.1786363876813,2986.4537664610625,2078.1202321127025,2378.459491314882,2102.610630481669,2060.442646828821,1442.5769250748608,2030.348018037055,1254.673837706456,1408.8062875554172,1468.157654070402,1551.1024926729822,1576.7023710265623,1399.2087737799477,1254.7309647204204,1524.4762467234166,1581.2080576727717,1639.3683203838402,1340.3528817392557,1358.3223855887945,1336.9683391963276
VA,9588.466601353532,8917.865701279205,8508.359079130336,9821.8860974085,9368.371656738276,7731.518656991887,8009.15789647259,6683.319000277441,8517.911879202837,4289.333327582286,6016.519418291807,6615.50554201052,8387.214415593824,6174.129151541512,6872.838548239724,5942.514880560243,5477.285964809506,5231.89138082634,4566.71292956816,4669.551455010023,4450.282022567544,4148.188293494107,4683.5027968846525
VT,959.3563216963045,971.7471666488293,921.713506666135,1055.6917653997562,1391.7052101993743,1470.9596452409298,1504.3291371087992,1377.1940081419932,1059.3847486262819,1094.810731462947,1215.8175335072015,1459.5252410385328,1239.6019625327735,1110.4039859992472,1203.864673378804,1071.402803367941,1605.3260958065641,1897.555831555953,1755.7767803175873,1952.7386967697455,2167.232847427928,2208.275173253979,2187.9631301479194
WA,5403.770516368888,6811.956765921547,6045.897969569011,6191.495405288405,7450.485952625501,7636.195058747385,13491.49224085881,11595.083104472995,13407.861159232649,11861.117950667423,9893.488525589171,9527.213518979781,9536.77554339342,10758.286183635255,9487.917233058326,10595.574066726836,9503.39580831049,10118.059310895145,10643.582294888141,11053.559936157606,10462.273216762258,10669.528913214423,10584.71651345563
WI,28731.964687674044,31932.34610992719,30887.76570128062,15657.868651639077,18643.056464163674,17804.143200977433,19504.13307992956,20988.94313186346,18530.115114680284,20383.93569889418,16440.691932762864,17960.52071838668,18471.84008996487,19142.501622762375,17987.79231013932,17547.48310468487,15860.752095004718,15835.095629662286,14786.076198539407,15781.395575843375,13242.881129212125,13390.020521303702,13188.857832776803
WV,599.2300955948564,668.8440754116414,591.1078795744709,672.282269231547,1128.0706387326636,1267.3280270901168,1428.0830983559358,1396.8434644911727,731.1216450324888,958.8782248419549,544.4007317140881,446.3966342614349,484.12756334887524,450.95836185088456,430.0972709150088,335.1379265710756,270.5555055606739,227.61534085500523,276.32470522874155,418.8500302659816,331.81029383484776,335.24977168356935,327.15248433709036
WY,2549.821377470411,2460.2878504758028,2170.6570803492536,1842.361906610814,2438.10996086916,2104.90087482808,2201.177785561283,2446.8802505832027,2367.631998524242,2968.836794045329,2815.3204974761743,3105.454101168633,3460.738376977877,3045.239326587085,3123.852979278501,3179.547295808176,2573.568682732134,2590.1333943258105,2729.3081994885197,2873.2821725084254,2569.713272405023,2592.377182279517,2568.469250000489
