geo_ref,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
AK,24599.742498529013,25146.6680701321,24853.10848991931,25081.108928530626,26265.718131990572,27167.2286984051,29484.88537092863,27347.13987968557,27237.865487825824,26079.620259140585,25525.93992502208,26707.863392932977,25966.250266170133,21669.092365764376,20592.81101406644,19926.725185015533,19179.051828953983,19824.284131090033,17560.796112988708,17265.83951940796,17075.936214800215,17736.356404482893,18368.784290231768
AL,26495.95987602201,41645.17233737563,64120.096179664215,50068.5730772254,65505.10123768377,59161.07424508655,81388.24394977746,98020.26210156585,91529.97352221711,124729.48252557234,153923.06261613217,187070.5990892101,217708.6016083025,181568.9320676525,189756.65117671757,218560.1610345392,226403.79266666865,208585.61541669603,235952.04645889418,228795.2642196355,217260.53681815576,213878.9779660426,249040.397744428
AR,21039.968191025757,21754.53408190235,24878.846564581774,33653.870623993585,26594.70378530271,29092.627755798014,40894.73902891127,36054.39332886589,36287.654744059044,46775.7145639219,53673.78600637048,59289.3554155292,70984.9389770995,52182.69780849936,40702.837012801174,61493.73555096504,74926.40916821157,70261.62091748943,83404.87220348691,87513.43009927048,74624.33680233597,82389.66220415033,104270.89434797893
AZ,53685.59872051926,72930.59909754954,79130.69328899069,91483.48058002979,130522.51446244001,118492.25859764173,134980.478423314,152202.9859877129,154957.93494463206,142538.67706579843,121695.24021155699,98276.18377250925,124464.56985892076,121736.69957992599,112904.28790499202,137200.59239220206,140616.4766025266,123829.13492230784,157340.5077589527,195134.32101489787,212049.0108838171,195854.71916818654,185104.74174640668
CA,513172.51873596816,562440.7292142359,422962.7830878795,413067.7354326245,449794.26450846414,407105.9935154274,451557.16020684934,485152.3873415098,493254.90571069886,467087.8325109082,423588.9117300373,354305.40774294455,475914.3091413389,460725.98576010903,466209.0078251869,452342.32945885527,374651.65768727753,338188.187374125,343704.61639815447,318803.7728338387,344324.0421755808,360466.7404805911,362110.28189321654
CO,36119.091952359486,48736.43210285025,42191.31973067751,42699.03297343347,45975.51113945158,50820.42513870262,51262.02393675593,67782.94219949581,58259.33796517982,62734.206663348836,50778.00254614406,47063.390003272936,47886.491164550505,50150.37054257208,54404.272920806805,53022.95495698608,55861.456645576756,56144.32609072549,73005.11582900709,77008.7525865202,81292.71307708642,67161.0402165234,72389.56792305817
CT,82210.94038084662,64907.165770381405,59977.843270304686,46460.94037597575,53376.043739675086,67990.10371144854,62801.72010292666,61701.835048223555,47611.47175774276,50963.4989768868,59513.40643157226,70126.93805828781,74050.35579211236,71579.57373074924,69403.83484617021,78614.76783061992,78046.92973842975,69924.07771141005,84965.54404656362,87349.96621101088,95806.11245910551,98077.42999967237,100511.48621427007
DE,9808.73184631015,19487.389006568534,15239.627359165168,16645.454108246642,12049.550383379505,13184.603557495826,6200.868644037952,8960.978529241256,6988.578946580406,6871.5308211969605,13728.00039008237,21450.319458787155,29233.225466296775,23358.516334104865,26520.229576490605,25797.973270462913,30293.48606885603,24914.073895454967,21441.445983763628,15624.122479103049,16229.412019998319,13367.956538685376,18325.74525899902
FL,499491.5921276814,544902.4584794369,582393.9996071394,623022.6484943907,648261.490405964,677966.9983205986,623001.309842482,610730.3052367055,562465.998831204,600516.1972835995,635579.2581660632,619820.2205435575,651860.3057548978,610896.6405827918,607402.2778025835,677643.3711705625,697725.2627619823,685611.2185664272,734090.6697248736,757985.9289712389,784367.7957051416,753619.010309328,795277.8413281967
GA,31966.172817841234,23801.01087149421,34992.03614919603,22779.50970510124,28986.13192763531,44655.586211310016,55954.98662651927,70264.15660548564,55409.557466019105,80800.2756414874,97898.21813859612,108544.46540548513,167780.5356749314,152946.18180793026,160754.52857108664,196927.46288651388,209420.56091228788,204398.0530446935,206384.9954372486,233605.43229766522,234411.4907193356,221493.73561151198,238913.10209764732
