geo_ref,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
AK,117827.08267711279,113717.64254894352,115322.70195228561,117848.26325269266,144901.39452034075,147748.33623764256,146557.0834960734,138384.97112984513,122567.56937884756,109969.0246620159,103813.43619261192,89173.42933660733,84794.10276271854,76285.05197077717,83854.6635602651,79372.47701364035,76158.71929168787,78534.88660408572,73480.00719592185,76663.98605769902,80006.07657449813,95587.40194564952,89213.7710697198
AL,336037.80852265464,317608.6123349264,331757.6673417442,329843.02215106227,337103.1779779666,339453.242386051,340241.0050715576,349337.1360952325,322056.1893353727,310410.69228591403,321763.75197697553,318054.256596588,313696.7969963302,308411.1381783303,314713.95038435236,320529.1950236527,338941.0879106203,328488.34239307937,329733.8600070691,333908.85258610605,334551.7611882128,379067.4140512336,371440.80156033166
AR,218768.02794495536,204394.34173849228,203184.74384311307,208003.25181892843,204159.9745258342,208380.5438195876,210136.90092446833,213179.11779797688,200750.9184554296,196098.0199346466,198948.79875293648,193416.01343161234,193754.84012421654,188813.26149015184,196135.71477925844,190089.94555581352,197508.48945735462,198859.6737574197,200842.03683411973,201302.2986087759,190044.59277402132,202658.43170315586,198727.5075966588
AZ,338791.2199697329,348617.82458591694,361594.3685336756,370048.2206619992,373908.1652394637,388442.9475172323,394403.02513714426,389446.90456232417,362339.2462459493,334614.64565833606,358494.79845187237,352926.8978594485,346474.76922009833,339660.3502141259,352634.3912096697,359688.0579504935,369266.08547021623,372114.32493347285,382331.7795133084,389719.75571045576,354050.5160615989,397104.43317589985,390963.66364516073
CA,2050007.891199392,2015650.2432839538,2116124.3212324604,2076606.1482769295,2141946.5263205,2164453.0566053726,2160480.320026749,2176502.6381017976,2015525.4308894232,1929282.9933073248,1851527.9844917946,1801404.7023289579,1775155.1001025685,1766661.0810089645,1791990.1959918973,1808400.970578163,1887105.6750088506,1929328.8916649537,1941988.2360628573,1955782.545751124,1530324.659134599,1730441.212584927,1717596.0593187727
CO,268793.37158433144,280951.96040115965,280731.5652908284,266779.90450672776,295732.76900350803,300775.5013371821,304186.43869782024,307915.033364224,298105.7379355432,282058.2497124018,282584.3686406463,277979.43534902483,274804.33387444355,273943.1006009022,288489.65238901856,285958.287749821,294562.9075008081,297848.49693065323,306198.71094411594,310416.984629905,261915.04829628996,296740.3055580715,324530.0194864185
CT,174559.49177226546,176523.30553321424,175033.77638136406,188526.0737798284,205923.59523940893,188700.05776865772,182220.77541698067,181907.09826158607,170775.03738594838,166987.36263198056,165353.95679523883,162135.86177964226,158067.34437448162,153151.09183739658,154957.973526555,156657.14438206132,157994.1419238028,159122.40030844606,164003.6250423529,159934.38270148748,136646.72432731095,150211.28096292668,154815.24860278072
DE,44394.247994043835,44060.48679231975,47159.59436043404,46576.855794973424,47128.88531754544,49631.45848433133,50006.668390950406,50104.84769170202,46423.898336718834,45718.36879628099,52131.77821406461,48438.44662239021,47010.05038707286,44966.337386656916,45896.786130200686,48099.208477698696,55619.92489173142,52911.82066467756,55749.11199689198,57936.37587442377,49006.472658058345,53151.15933098358,50978.90285990952
FL,964715.9476912981,947629.6080868436,971194.1613040594,981673.1380300866,1045066.0026112142,1068517.5408125268,1077334.0679554858,1054810.9628922045,986030.1329390464,942975.7929161224,982047.6609552795,963200.2031713017,956440.3318238037,961056.3998225969,975389.9834094687,999584.8262898964,1026507.1394568094,1055116.350512731,1094818.6331049707,1083466.9340710226,921294.7402347937,1088939.6421394586,1113442.270256592
GA,637527.069746085,633810.6012856804,643030.9027867505,653767.9221066897,659105.6615447064,688577.2073332242,656465.7494583302,646921.4501889384,594029.351275006,615931.2117434035,642912.9420642615,619247.1795470626,595417.9274162736,611514.5603971945,598723.8420815456,640723.331778614,609619.1575830682,649847.6959339179,635411.503561391,621578.5266065242,563108.3089839038,595574.1955139486,590901.8024743119
